1,12312312,Barbra,Adkin,718-201-3751,Barbra.Adkin001@umb.edu
2,12312433,Jutta,Amyot,337-515-1438,Jutta.Amyot001@umb.edu
3,22233321,Helga,Fredicks,716-752-4114,Helga.Fredicks001@umb.edu
4,21312323,Cyndy,Goldammer,952-334-9408,Cyndy.Goldammer001@umb.edu
5,34534545,Quentin,Birkner,952-702-7993,Quentin.Birkner001@umb.edu
6,33455465,Raina,Brachle,406-318-1515,Raina.Brachle001@bumb.edu
7,34587887,Mona,Delasancha,307-403-1488,Mona.Delasancha001@umb.edu
8,23444423,Valentin,Klimek,312-303-5453,Valentin.Klimek001@umb.edu
9,94993872,Carmela,Cookey,773-494-4195,Carme.laCookey001@umb.edu
10,23409834,Erick,Nievas,773-704-9903,Erick.Nievas001@umb.edu
